date,station,TAVG_file1,TMAX_file1,TMIN_file1,AWND,DAPR,MDPR,PGTM,PRCP,SNOW,SNWD,TAVG_file2,TMAX_file2,TMIN_file2,TOBS,TSUN,WDF2,WDF5,WESD,WESF,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11,name,latitude,longitude,elevation
2018-10-01,GHCND:USW00014732,21.2,25.6,18.3,3.1,,,,0.0,0.0,0.0,21.2,25.6,18.3,,,220.0,240.0,,,7.2,9.4,,,,,,,,,,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-02,GHCND:USW00014732,22.7,26.1,19.4,4.3,,,,14.2,0.0,0.0,22.7,26.1,19.4,,,310.0,310.0,,,10.3,12.5,1.0,,1.0,,,,,,,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-03,GHCND:USW00014732,21.8,25.0,18.9,3.6,,,,0.0,0.0,0.0,21.8,25.0,18.9,,,320.0,320.0,,,8.1,9.8,,,,,,,,,,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-04,GHCND:USW00014732,21.3,26.1,17.8,2.5,,,,1.0,0.0,0.0,21.3,26.1,17.8,,,350.0,350.0,,,6.3,8.5,,,,,,,,,,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-05,GHCND:USW00014732,20.3,22.8,16.1,4.3,,,,0.0,0.0,0.0,20.3,22.8,16.1,,,20.0,30.0,,,8.9,12.1,,,,,,,,,,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-06,GHCND:USW00014732,18.7,21.1,17.8,3.6,,,,0.0,0.0,0.0,18.7,21.1,17.8,,,160.0,150.0,,,6.7,8.1,,,,,,,,,,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-07,GHCND:USW00014732,22.8,27.8,21.1,2.3,,,,0.0,0.0,0.0,22.8,27.8,21.1,,,220.0,240.0,,,5.8,7.6,,,,,,,,,,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-08,GHCND:USW00014732,20.9,22.8,18.3,4.5,,,,0.0,0.0,0.0,20.9,22.8,18.3,,,90.0,90.0,,,7.2,8.5,1.0,,,,,,1.0,,,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-09,GHCND:USW00014732,21.8,25.6,19.4,3.3,,,,0.0,0.0,0.0,21.8,25.6,19.4,,,180.0,180.0,,,6.7,7.6,,,,,,,,,,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-10,GHCND:USW00014732,23.8,27.8,21.7,3.5,,,,0.0,0.0,0.0,23.8,27.8,21.7,,,170.0,170.0,,,7.2,8.9,1.0,,,,,,,,,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-11,GHCND:USW00014732,23.4,26.7,21.7,3.6,,,,16.0,0.0,0.0,23.4,26.7,21.7,,,180.0,180.0,,,9.8,13.4,1.0,,1.0,,,,,,,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-12,GHCND:USW00014732,18.3,22.2,12.2,7.7,,,,13.2,0.0,0.0,18.3,22.2,12.2,,,320.0,310.0,,,13.0,16.1,1.0,,,,,,,,,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-13,GHCND:USW00014732,12.2,15.0,9.4,4.7,,,,1.3,0.0,0.0,12.2,15.0,9.4,,,320.0,310.0,,,8.1,10.7,,,,,,,,,,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-14,GHCND:USW00014732,12.9,15.6,10.6,3.0,,,,0.0,0.0,0.0,12.9,15.6,10.6,,,230.0,220.0,,,5.8,7.2,,,,,,,,,,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
